Time,Sensor,Steps
45.533636808395386,725,46
45.582903146743774,734,45
45.6336989402771,740,45
45.68364596366882,748,45
45.732906341552734,748,45
45.783716678619385,749,44
45.83371615409851,761,44
45.883004903793335,773,43
45.93369245529175,789,43
45.983630657196045,796,42
46.032896280288696,810,42
46.083672285079956,811,41
46.13394379615784,821,40
46.183340072631836,823,39
46.23365116119385,827,39
46.28282904624939,834,38
46.33371305465698,833,37
46.38364839553833,833,36
46.43290615081787,831,35
46.48370814323425,833,34
46.53368091583252,833,33
46.58294916152954,819,32
46.633705854415894,799,31
46.683666467666626,772,30
46.7329261302948,748,29
46.783687353134155,733,29
46.8336660861969,723,28
46.8829288482666,704,28
46.933682680130005,692,27
46.98365569114685,681,27
47.03295826911926,673,27
47.083696365356445,666,26
47.13397669792175,658,26
47.18337607383728,652,26
47.23365807533264,642,25
47.28284001350403,637,25
47.3336660861969,634,25
47.383657932281494,632,25
47.432915925979614,626,25
47.48374676704407,625,25
47.53370141983032,623,25
47.58297562599182,619,25
47.63372611999512,619,24
47.68368411064148,617,24
47.73293685913086,615,24
47.78374123573303,617,24
47.83370876312256,617,24
47.88297700881958,617,24
47.93376040458679,617,24
47.983752727508545,618,24
48.03299856185913,617,24
48.08376717567444,617,25
48.1339750289917,618,25
48.183509826660156,620,25
48.2337064743042,622,25
48.28288912773132,622,25
48.3337242603302,626,25
48.38324046134949,630,25
48.43375873565674,635,25
48.483017683029175,633,25
48.53330183029175,641,25
48.58328080177307,643,26
48.63359713554382,645,26
48.68289303779602,648,26
48.7330424785614,650,26
48.78369450569153,654,26
48.8335747718811,656,26
48.88279414176941,655,26
48.9334716796875,658,26
48.983506202697754,661,26
49.033740758895874,664,26
49.08349871635437,665,26
49.13389182090759,667,27
49.183491230010986,669,27
49.23363518714905,671,27
49.28349280357361,674,27
49.33366060256958,674,27
49.3834867477417,676,27
49.43362879753113,676,27
49.48349356651306,676,27
49.53368806838989,678,27
49.58348107337952,679,27
49.63365077972412,681,27
49.68350672721863,680,27
49.73365330696106,680,27
49.783509969711304,684,27
49.833648443222046,686,27
49.88351845741272,685,27
49.93369793891907,686,27
49.98349452018738,685,27
50.03364133834839,687,27
50.083698749542236,689,27
50.13314938545227,688,27
50.18351984024048,688,27
50.23366975784302,686,27
50.28349733352661,690,27
50.333645820617676,691,27
50.383495569229126,690,27
50.433640241622925,691,27
50.483508586883545,692,28
50.53366732597351,691,28
50.583558797836304,693,28
50.633724212646484,693,28
50.68350791931152,693,28
50.733649015426636,694,28
50.78349280357361,694,28
50.83369541168213,694,28
50.883498430252075,695,28
50.93366193771362,694,28
50.983431816101074,696,28
51.03357720375061,694,28
51.08348274230957,695,28
51.13390064239502,698,28
51.183485984802246,696,28
51.23404550552368,695,28
51.28345704078674,697,28
51.33359694480896,695,28
51.383482933044434,698,28
51.43365144729614,698,28
51.48346543312073,697,28
51.533610105514526,697,28
51.583455324172974,697,28
51.63359451293945,698,28
51.683457374572754,695,28
51.7336106300354,697,28
51.78345441818237,697,28
51.83359408378601,700,28
51.88350176811218,700,28
51.93365263938904,698,28
51.9835638999939,698,28
52.03376650810242,698,28
52.083497285842896,698,28
52.13389849662781,697,28
52.18346166610718,699,28
52.23289203643799,698,28
52.28348922729492,697,28
52.33349132537842,699,28
52.38365817070007,699,28
52.43348979949951,698,28
52.48363995552063,700,28
52.5335111618042,700,28
52.58367586135864,700,28
52.63356828689575,700,28
52.683736085891724,698,28
52.73347997665405,699,28
52.783628940582275,699,28
52.83350205421448,700,28
52.883649826049805,699,28
52.93386125564575,699,28
52.983023166656494,701,28
53.03348994255066,701,28
53.08346366882324,700,28
53.13393950462341,699,28
53.183502435684204,699,28
53.233646392822266,699,28
53.283509254455566,700,28
53.33365058898926,700,28
53.38348388671875,699,28
53.43363881111145,700,28
53.48360514640808,699,28
53.533807039260864,698,28
53.58362030982971,700,28
53.63379383087158,700,28
53.68359708786011,701,28
53.73378372192383,700,28
53.7836811542511,699,28
53.832855224609375,700,28
53.883612871170044,699,28
53.93367648124695,700,28
53.98295855522156,700,28
